user_id,n,value
1,29,-0.2283767406986468
2,16,0.8138945162343805
3,23,-2.161398902908025
4,34,-0.34118725030370445
5,25,0.15491826409341244
6,22,0.42726373741639184
7,39,0.0038567728546781313
8,24,0.07624596836307873
9,33,-0.4655641128575594
10,32,0.055471713603005166
11,30,-0.04041601181573774
12,28,0.015709353795747765
13,24,0.3808544959637634
14,27,-0.41508214667439347
15,24,0.13967116906068888
16,17,-0.2956769544175151
17,15,0.5404884293558749
18,27,-0.39032157365022974
19,30,-0.3573068447078808
20,22,0.3675274377725976
21,15,-0.5170863574556124
22,30,-0.28904622988221834
23,32,-0.4262263440730037
24,32,-0.17352702980079138
25,15,-0.017092322495631685
26,26,0.17820206817991366
27,30,-0.06549688074054796
28,30,0.09093767342037166
29,24,0.1268269923441876
30,23,0.4596567075381992
31,30,-0.48265670839799774
32,31,0.14008303735020647
33,25,0.7449701319024572
34,25,-0.11270327387110264
35,44,-0.8692628117100957
36,34,-0.26218236384554694
37,20,0.406272482360478
38,15,-0.5183592384866643
39,23,-0.0698775701906444
40,32,0.11276981975479666
41,37,0.3182786995725044
42,14,-0.4179840629344312
43,26,-0.4785965281328944
44,32,0.14251192940535645
45,11,-0.24248104156602776
46,30,-0.03500923653457789
47,33,-0.08220198829218013
48,20,0.13345368019179957
49,33,-0.38370581994747277
50,26,0.03607473527540081
51,29,-0.06154329744916222
52,28,-0.3326589317566398
53,12,-0.6929849743748774
54,30,-0.3083132876129688
55,32,-0.26846446934155543
56,24,-0.4050192702006509
57,28,-0.45783688105335657
58,20,-0.37973411564521514
59,16,-0.37028751159368856
60,30,-0.10836682818742907
61,35,-0.29791905539690383
62,28,-0.15775587842304944
63,18,-0.41738473411520666
64,22,-0.07945695776568812
65,27,0.17742919076993524
66,18,-0.6853115473294571
67,26,-0.2025856480933394
68,13,-0.7595216837370852
69,23,0.34164551127183823
70,16,0.05455037355413636
71,24,-0.1632624723900621
72,27,0.0458691065503877
73,26,0.21518143675620968
74,16,-0.11258005001640298
75,41,-0.2943939164653431
76,27,-0.24387642813628377
77,16,-0.7780891654315891
78,18,-0.41724878429477713
79,31,0.1268568386622996
80,16,-1.4539065958035369
81,25,-0.08894768063033888
82,33,0.06796707172949486
83,24,0.5920670153429936
84,22,-0.37784940585264065
85,28,-0.12394506264256047
86,18,0.009657129231338471
87,28,-0.8757038763194885
88,32,-0.484368134035613
89,37,-0.20818958268716908
90,27,-0.02835857223891862
91,16,-1.0665920990334117
92,25,-0.3197892910238741
93,30,-0.0010932641187080558
94,14,-1.1286569157564634
95,33,0.3865524223361218
96,30,-0.420341488665195
97,26,-0.2579920741768392
98,24,-0.14767058685632997
99,22,-0.6594328942050144
100,20,-0.32726595189789487
101,28,0.17379238873641598
102,19,-0.3532640210610366
